sensor1, 17/03/2024 04:51:19 ,889
sensor1, 20/03/2024 09:11:49 ,66
sensor1, 20/03/2024 09:17:54 ,69
sensor1, 20/03/2024 09:19:28 ,69
sensor1, 20/03/2024 09:19:30 ,69
sensor1, 20/03/2024 09:29:18 ,69
sensor1, 20/03/2024 09:33:25 ,998
sensor1, 20/03/2024 09:35:50 ,958
sensor1, 20/03/2024 09:36:18 ,00
sensor1, 20/03/2024 09:55:16 ,678
sensor1, 20/03/2024 09:55:19 ,89
sensor1, 08/04/2024 10:09:42 ,34
sensor1, 08/04/2024 10:12:38 ,78
sensor1, 08/04/2024 11:08:04 ,87
sensor1, 17/04/2024 08:21:07 ,84
sensor1, 17/04/2024 08:50:54 ,89
sensor1, 17/04/2024 08:53:11 ,88
temperatura, 17/04/2024 09:47:40 ,21
