ON , 20/03/2024 10:52:08 
OFF , 20/03/2024 10:52:09 
ON , 20/03/2024 10:52:09 
OFF , 20/03/2024 10:52:10 
ON , 20/03/2024 10:52:17 
OFF , 20/03/2024 10:52:18 
ON , 20/03/2024 10:53:30 
OFF , 20/03/2024 10:53:30 
ON , 20/03/2024 10:55:43 
OFF , 20/03/2024 10:55:44 
ON , 20/03/2024 10:55:45 
OFF , 20/03/2024 10:55:45 
ON , 20/03/2024 10:56:44 
OFF , 20/03/2024 10:56:45 
ON , 20/03/2024 10:58:05 
OFF , 20/03/2024 10:58:06 
ON , 20/03/2024 10:59:01 
OFF , 20/03/2024 10:59:02 
ON , 20/03/2024 10:59:26 
OFF , 20/03/2024 10:59:27 
ON , 20/03/2024 11:03:10 
OFF , 20/03/2024 11:03:11 
ON , 20/03/2024 11:03:12 
OFF , 20/03/2024 11:03:13 
OFF , 20/03/2024 11:03:14 
ON , 20/03/2024 11:03:14 
OFF , 20/03/2024 11:03:54 
ON , 20/03/2024 11:03:55 
ON , 20/03/2024 11:03:57 
OFF , 20/03/2024 11:03:58 
ON , 20/03/2024 11:03:58 
ON , 20/03/2024 11:03:59 
ON , 20/03/2024 11:03:59 
OFF , 20/03/2024 11:10:03 
ON , 20/03/2024 11:10:04 
OFF , 20/03/2024 11:10:05 
ON , 20/03/2024 11:10:06 
ON , 20/03/2024 11:19:13 
OFF , 20/03/2024 11:19:13 
ON , 20/03/2024 11:19:14 
ON , 20/03/2024 11:19:16 
ON , 20/03/2024 11:20:35 
OFF , 25/03/2024 10:57:01 
ON , 25/03/2024 10:57:02 
ON , 25/03/2024 02:23:13 
ON , 15/04/2024 11:24:10 
ON , 15/04/2024 11:24:12 
ON , 17/04/2024 06:06:07 
ON , 17/04/2024 06:06:09 
ON , 17/04/2024 06:21:18 
ON , 17/04/2024 08:20:01 
ON , 17/04/2024 08:45:13 
ON , 17/04/2024 09:49:24 
ON , 22/04/2024 12:21:06 
ON , 22/04/2024 12:21:08 
ON , 23/04/2024 06:44:02 
ON , 23/04/2024 06:44:04 
ON , 23/04/2024 06:45:01 
ON , 23/04/2024 06:45:02 
ON , 23/04/2024 06:45:03 
ON , 23/04/2024 06:45:03 
ON , 23/04/2024 06:45:49 
ON , 23/04/2024 06:45:50 
ON , 23/04/2024 06:45:51 
ON , 23/04/2024 07:04:11 
ON , 23/04/2024 07:04:12 
ON , 23/04/2024 07:04:16 
ON , 23/04/2024 07:12:49 
ON , 23/04/2024 07:12:49 
ON , 23/04/2024 07:25:43 
ON , 23/04/2024 07:30:44 
ON , 23/04/2024 07:30:46 
ON , 23/04/2024 07:30:48 
ON , 23/04/2024 07:30:53 
